OrderNumber,ChannelOrderID,CustomerCode,CustomerName,Channel,ChannelNum,ChannelAccountNum,OrderDate,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,SKU,OrderQty,Price,ExtAmount,SubTotalAmount,DiscountAmount,TaxAmount,ShippingAmount,TotalAmount,OrderType,OrderStatus,Currency,UOM,Stockable,Costable,Taxable,IsProfit,ShipQty,OpenQty,Financial Status,Fulfillment Status,PaidAmount,Balance
20260314-1,54f85286-9f52-4713-b255-bb5c17349565,AMZ-eCom, AMZ eCom,Amazon,10001,10565,2026-03-14, AMZ eCom Shipping, Alex Reed, Nora Lane, AMZ eCom Retail, 201 Harbor Ave,, Main ship location,Phoenix,AZ,85001, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave,UNKNOWN, Main ship location,Phoenix,AZ,85001, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006,AVIANA-06-BEIGE-11,1,37.86,37.86,132.46,0,0,1.67,134.13,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,134.13
20260314-1,54f85286-9f52-4713-b255-bb5c17349565,AMZ-eCom, AMZ eCom,Amazon,10001,10565,2026-03-14, AMZ eCom Shipping, Alex Reed, Nora Lane, AMZ eCom Retail, 201 Harbor Ave,, Main ship location,Phoenix,AZ,85001, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave,UNKNOWN, Main ship location,Phoenix,AZ,85001, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006,ADELINE-02-NUDE-9.5,1,31.24,31.24,132.46,0,0,1.67,134.13,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,134.13
20260314-1,54f85286-9f52-4713-b255-bb5c17349565,AMZ-eCom, AMZ eCom,Amazon,10001,10565,2026-03-14, AMZ eCom Shipping, Alex Reed, Nora Lane, AMZ eCom Retail, 201 Harbor Ave,, Main ship location,Phoenix,AZ,85001, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave,UNKNOWN, Main ship location,Phoenix,AZ,85001, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006,FA13501DM-1464KINGSC-30-32,2,31.68,63.36,132.46,0,0,1.67,134.13,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,134.13
20260314-2,21a9b324-e367-4640-b873-86731198f76b,Veeqo-Amazon, Veeqo Amazon,Amazon (By Veeqo),10016,10579,2026-03-14, Veeqo Amazon Shipping, Jamie Clark, Owen Pike, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Minneapolis,MN,55401, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Minneapolis,MN,55401, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106,CORA-01-BLK-6.5,1,40.27,40.27,120.44,0,0,10.29,130.73,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,130.73
20260314-2,21a9b324-e367-4640-b873-86731198f76b,Veeqo-Amazon, Veeqo Amazon,Amazon (By Veeqo),10016,10579,2026-03-14, Veeqo Amazon Shipping, Jamie Clark, Owen Pike, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Minneapolis,MN,55401, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Minneapolis,MN,55401, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106,ADELINE-03-BLACK-8,2,17.33,34.66,120.44,0,0,10.29,130.73,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,130.73
20260314-2,21a9b324-e367-4640-b873-86731198f76b,Veeqo-Amazon, Veeqo Amazon,Amazon (By Veeqo),10016,10579,2026-03-14, Veeqo Amazon Shipping, Jamie Clark, Owen Pike, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Minneapolis,MN,55401, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way,PO Box 1234, Regional ship location,Minneapolis,MN,55401, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106,CORA-01-TAUP-5.5,3,15.17,45.51,120.44,0,0,10.29,130.73,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,3, , ,0,130.73
20260314-3,52464e35-13c4-4b36-80b5-74b466e60273,eBay, eBay,eBay,10004,10570,2026-03-14, eBay Shipping, Morgan Lee, Quentin Hale, eBay Commerce, 204 Fulfillment Ave,Apt 4B, Standard ship location,Miami,FL,33101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306, eBay Shipping, eBay Commerce, 204 Fulfillment Ave,Apt 4B, Standard ship location,Miami,FL,33101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306,FA13501DM-1464KINGSC-29-30,1,25.98,25.98,143.02,0,0,2.63,145.65,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,1, , ,0,145.65
20260314-3,52464e35-13c4-4b36-80b5-74b466e60273,eBay, eBay,eBay,10004,10570,2026-03-14, eBay Shipping, Morgan Lee, Quentin Hale, eBay Commerce, 204 Fulfillment Ave,Apt 4B, Standard ship location,Miami,FL,33101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306, eBay Shipping, eBay Commerce, 204 Fulfillment Ave,Apt 4B, Standard ship location,Miami,FL,33101, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306,ASTRID-01-NUDE-B12,4,29.26,117.04,143.02,0,0,2.63,145.65,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,4, , ,0,145.65
20260314-4,a47509da-cfe8-41d0-8f7f-8b6552e42055,Etsy-LS, Etsy LS,Etsy,10008,10571,2026-03-14, Etsy LS Shipping, Alex Reed, Rhea Moss, Etsy LS Marketplace, 205 Mission St,Apt 4B, Marketplace ship location,New York,NY,10001, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406, Etsy LS Shipping, Etsy LS Marketplace, 205 Mission St,Apt 4B, Marketplace ship location,New York,NY,10001, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406,ADELINE-03-BLUE-5,3,38.29,114.87,114.87,0,0,4.91,119.78,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,3, , ,0,119.78
20260314-5,ae9af445-49f9-49c0-88aa-804883a3bfc6,Etsy-VS, Etsy VS,Etsy,10008,10572,2026-03-14, Etsy VS Shipping, Jamie Clark, Soren Vale, Etsy VS Marketplace, 206 Pacific Hwy,Building C, Seasonal ship location,Salt Lake City,UT,84101, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506, Etsy VS Shipping, Etsy VS Marketplace, 206 Pacific Hwy,Building C, Seasonal ship location,Salt Lake City,UT,84101, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506,AVIANA-06-BLACK-5,2,21.12,42.24,116.17,0,0,17.39,133.56,1,0,USD,EA,TRUE,TRUE,TRUE,TRUE,0,2, , ,0,133.56
